name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,num_links,seguidores,popularidad,seguidoresLast,subscriptores,premios,VenueClass,NumGeneros
Myke Towers,"Tickex Experience, S.L.",2024-07-03T20:00:00Z,2023-11-28T21:00:00Z,2024-07-01T21:59:00Z,65.18,130.36,Undefined,Undefined,Myke Towers,Hip-Hop/Rap,Hip-Hop/Rap,Individual,Musician,Auditorio Starlite,Marbella,Málaga,5,14307176,88,0,12800000,0,SALA,3
Emilia,"Tickex Experience, S.L.",2024-07-04T20:00:00Z,2024-01-24T15:00:00Z,2024-07-02T21:59:00Z,34.82,87.5,Undefined,Undefined,Emilia,Pop,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,0,0,0,0,0,0,SALA,0
Christian Nodal,"JI Entertainment, A.I.E.",2024-07-05T19:00:00Z,2023-06-01T08:00:00Z,2024-07-05T19:00:00Z,25.0,90.0,World,World,Christian Nodal,World,Latin,Individual,Musician,WiZink Center,Madrid,Madrid,8,14273479,81,0,11200000,0,ESTADIO S,3
Siempre así,"Raquilan, S.L.",2024-07-05T20:30:00Z,2023-12-19T14:26:00Z,2024-07-05T20:00:00Z,40.0,92.0,World,Flamenco,Siempre Así,Undefined,Undefined,Undefined,Undefined,Ciudad Raqueta,Madrid,Madrid,7,127864,49,0,78400,0,,2
Camilo,"Tickex Experience, S.L.",2024-07-06T20:00:00Z,2023-11-28T20:00:00Z,2024-07-04T21:59:00Z,56.25,148.21,Undefined,Undefined,Camilo,Latin,Latin,Individual,Musician,Auditorio Starlite,Marbella,Málaga,0,0,0,0,0,0,SALA,0
Camilo,"Tickex Experience, S.L.",2024-07-08T20:00:00Z,2023-11-28T20:59:00Z,2024-07-06T21:59:00Z,44.64,127.68,Undefined,Undefined,Camilo,Latin,Latin,Individual,Musician,Auditorio Starlite,Marbella,Málaga,0,0,0,0,0,0,SALA,0
Keane,"Tickex Experience, S.L.",2024-07-09T20:00:00Z,2024-01-15T13:20:00Z,2024-07-07T21:59:00Z,32.14,89.29,Undefined,Undefined,Keane,Rock,Alternative Rock,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,10,3274790,73,3200000,0,0,SALA,3
Christian Nodal,"JI Entertainment, A.I.E.",2024-07-12T19:00:00Z,2023-06-01T08:00:00Z,2024-07-12T19:00:00Z,30.0,150.0,World,World,Christian Nodal,World,Latin,Individual,Musician,Palau Sant Jordi,Barcelona,Barcelona,8,14273479,81,0,11200000,0,TEATRO,3
Aitana,"Tickex Experience, S.L.",2024-07-29T20:00:00Z,2024-01-09T12:33:00Z,2024-07-27T21:59:00Z,65.18,160.71,Undefined,Undefined,Aitana,Pop,Pop Vocal,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,5,2916984,72,0,2380000,0,SALA,3
Aitana,"Tickex Experience, S.L.",2024-07-30T20:00:00Z,2024-02-08T11:00:00Z,2024-07-28T21:00:00Z,49.11,109.82,Undefined,Undefined,Aitana,Pop,Pop Vocal,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,5,2916984,72,0,2380000,0,SALA,3
"Miguel Poveda ""Poema del Cante Jondo""",Fundación Cante de las Minas,2024-08-02T22:00:00Z,2024-01-25T08:00:00Z,2024-08-02T21:00:00Z,25.0,70.0,World,Flamenco,Miguel Poveda,World,Flamenco,Undefined,Undefined,Antiguo Mercado Público,La Unión,Murcia,9,189803,47,0,0,0,SALA,4
